tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 2730: loss 3.5663, time 2579.47ms, mfu 25.03%
iter 2740: loss 3.7383, time 2580.56ms, mfu 25.07%
iter 2750: loss 3.3597, time 2762.09ms, mfu 24.94%
iter 2760: loss 3.5225, time 2580.60ms, mfu 24.99%
iter 2770: loss 3.5102, time 2591.03ms, mfu 25.03%
iter 2780: loss 3.4809, time 2631.29ms, mfu 25.02%
iter 2790: loss 3.3053, time 2578.44ms, mfu 25.06%
iter 2800: loss 3.8082, time 2800.70ms, mfu 24.90%
iter 2810: loss 3.4915, time 2602.44ms, mfu 24.93%
iter 2820: loss 3.5300, time 2631.39ms, mfu 24.93%
iter 2830: loss 3.2303, time 2597.59ms, mfu 24.97%
iter 2840: loss 3.6735, time 2579.52ms, mfu 25.02%
iter 2850: loss 3.5942, time 2595.30ms, mfu 25.04%
iter 2860: loss 3.4720, time 2575.20ms, mfu 25.09%
iter 2870: loss 3.5210, time 2580.25ms, mfu 25.12%
iter 2880: loss 3.6055, time 2693.44ms, mfu 25.05%
iter 2890: loss 3.7033, time 2581.30ms, mfu 25.09%
iter 2900: loss 3.6980, time 2579.42ms, mfu 25.12%
iter 2910: loss 3.4654, time 2634.80ms, mfu 25.10%
iter 2920: loss 3.5843, time 2580.01ms, mfu 25.13%
iter 2930: loss 3.5034, time 2619.83ms, mfu 25.13%
iter 2940: loss 3.9412, time 2659.89ms, mfu 25.08%
iter 2950: loss 3.6567, time 2579.23ms, mfu 25.12%
iter 2960: loss 3.6314, time 2632.98ms, mfu 25.10%
iter 2970: loss 3.4348, time 2577.97ms, mfu 25.14%
iter 2980: loss 3.2878, time 2590.82ms, mfu 25.16%
iter 2990: loss 3.7107, time 2667.71ms, mfu 25.10%
step 3000: train loss 3.5720, val loss 3.5918
saving checkpoint to out-mla
iter 3000: loss 3.4625, time 14309.10ms, mfu 23.05%
iter 3010: loss 3.6950, time 2623.36ms, mfu 23.25%
iter 3020: loss 3.5615, time 2647.90ms, mfu 23.40%
iter 3030: loss 3.6321, time 2579.69ms, mfu 23.61%
iter 3040: loss 3.7193, time 2759.91ms, mfu 23.62%
iter 3050: loss 3.1853, time 2578.79ms, mfu 23.81%
iter 3060: loss 3.2649, time 2571.52ms, mfu 23.98%
iter 3070: loss 3.6801, time 2641.22ms, mfu 24.07%
iter 3080: loss 3.6392, time 2591.73ms, mfu 24.19%
iter 3090: loss 3.7367, time 2578.45ms, mfu 24.32%
iter 3100: loss 3.5308, time 2616.74ms, mfu 24.39%
iter 3110: loss 3.9550, time 2603.25ms, mfu 24.48%
iter 3120: loss 3.5053, time 2603.02ms, mfu 24.55%
iter 3130: loss 3.3011, time 2579.67ms, mfu 24.64%
iter 3140: loss 3.6863, time 2578.70ms, mfu 24.72%
iter 3150: loss 3.5125, time 2603.92ms, mfu 24.77%
iter 3160: loss 3.3869, time 2577.35ms, mfu 24.84%
iter 3170: loss 3.4886, time 2615.52ms, mfu 24.87%
iter 3180: loss 3.4047, time 2599.19ms, mfu 24.90%
iter 3190: loss 3.5020, time 2578.89ms, mfu 24.96%
iter 3200: loss 3.7806, time 2649.51ms, mfu 24.94%
iter 3210: loss 3.4645, time 2578.91ms, mfu 24.99%
iter 3220: loss 3.1601, time 2602.74ms, mfu 25.01%
iter 3230: loss 3.6889, time 2685.10ms, mfu 24.96%
iter 3240: loss 3.3772, time 2846.89ms, mfu 24.77%
iter 3250: loss 3.4962, time 2579.88ms, mfu 24.84%
iter 3260: loss 3.5448, time 2699.67ms, mfu 24.78%
iter 3270: loss 3.5851, time 2625.69ms, mfu 24.80%
